OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790294712714|37009970400|Census Tract 9704|83756922|288575|G5020|S|20740294712714|37009970400|Census Tract 9704|83753563|288575|G5020|S|83753563|288575
20790294712714|37009970400|Census Tract 9704|83756922|288575|G5020|S|20740294712758|37009970500|Census Tract 9705|108111121|578733|G5020|S|3359|0
2079015482516477|37009970501|Census Tract 9705.01|55448175|120948|G5020|S|20740294712758|37009970500|Census Tract 9705|108111121|578733|G5020|S|55448175|120948
2079015482516460|37009970502|Census Tract 9705.02|52659587|457785|G5020|S|20740294712758|37009970500|Census Tract 9705|108111121|578733|G5020|S|52659587|457785
2079015482516482|37009970701|Census Tract 9707.01|134570977|699627|G5020|S|20740294712805|37009970700|Census Tract 9707|239370285|1664675|G5020|S|134552423|699459
2079015482516482|37009970701|Census Tract 9707.01|134570977|699627|G5020|S|20740676708992|37189920100|Census Tract 9201|144113472|274166|G5020|S|18554|0
2079015482516482|37009970701|Census Tract 9707.01|134570977|699627|G5020|S|207403717130267|37189920701|Census Tract 9207.01|45993755|307164|G5020|S|0|168
2079015482516486|37009970702|Census Tract 9707.02|104814116|965216|G5020|S|20740294712805|37009970700|Census Tract 9707|239370285|1664675|G5020|S|104171920|965216
2079015482516486|37009970702|Census Tract 9707.02|104814116|965216|G5020|S|207401915661021|37193960900|Census Tract 9609|464454823|876824|G5020|S|642196|0
2079015482516452|37009970801|Census Tract 9708.01|153375660|2814928|G5020|S|20740291534978|37005950300|Census Tract 9503|292354925|1871814|G5020|S|34960|0
2079015482516452|37009970801|Census Tract 9708.01|153375660|2814928|G5020|S|207403716971037|37009970800|Census Tract 9708|318059490|4244344|G5020|S|153324584|2814928
2079015482516452|37009970801|Census Tract 9708.01|153375660|2814928|G5020|S|207401915661021|37193960900|Census Tract 9609|464454823|876824|G5020|S|16116|0
2079015482516456|37009970802|Census Tract 9708.02|163959249|1474895|G5020|S|20740291534978|37005950300|Census Tract 9503|292354925|1871814|G5020|S|75481|45479
2079015482516456|37009970802|Census Tract 9708.02|163959249|1474895|G5020|S|207403716971037|37009970800|Census Tract 9708|318059490|4244344|G5020|S|163883768|1429416
207903717455771|37011930100|Census Tract 9301|92976450|135747|G5020|S|207403717455771|37011930100|Census Tract 9301|93039546|134777|G5020|S|92857740|134777
207903717455771|37011930100|Census Tract 9301|92976450|135747|G5020|S|207403717455803|37011930302|Census Tract 9303.02|112961142|0|G5020|S|74128|0
207903717455771|37011930100|Census Tract 9301|92976450|135747|G5020|S|20740676709029|37189920900|Census Tract 9209|122399585|334634|G5020|S|23819|0
207903717455771|37011930100|Census Tract 9301|92976450|135747|G5020|S|20740676709057|37189921000|Census Tract 9210|21155929|27117|G5020|S|20763|970
207903717455821|37011930200|Census Tract 9302|206058821|309538|G5020|S|207403717455821|37011930200|Census Tract 9302|206097476|309538|G5020|S|206044028|309538
207903717455821|37011930200|Census Tract 9302|206058821|309538|G5020|S|207403717455791|37011930301|Census Tract 9303.01|91782730|0|G5020|S|13175|0
207903717455821|37011930200|Census Tract 9302|206058821|309538|G5020|S|20740303232792|37023020201|Census Tract 202.01|401031575|13996369|G5020|S|1452|0
207903717455821|37011930200|Census Tract 9302|206058821|309538|G5020|S|20740306676448|37027031000|Census Tract 310|320650973|0|G5020|S|166|0
207903717455791|37011930301|Census Tract 9303.01|91849397|0|G5020|S|207403717455771|37011930100|Census Tract 9301|93039546|134777|G5020|S|50331|0
207903717455791|37011930301|Census Tract 9303.01|91849397|0|G5020|S|207403717455821|37011930200|Census Tract 9302|206097476|309538|G5020|S|35281|0
207903717455791|37011930301|Census Tract 9303.01|91849397|0|G5020|S|207403717455791|37011930301|Census Tract 9303.01|91782730|0|G5020|S|91762856|0
207903717455791|37011930301|Census Tract 9303.01|91849397|0|G5020|S|207403717455811|37011930400|Census Tract 9304|136717967|0|G5020|S|929|0
207903717455803|37011930302|Census Tract 9303.02|113001101|0|G5020|S|207403717455771|37011930100|Census Tract 9301|93039546|134777|G5020|S|106707|0
207903717455803|37011930302|Census Tract 9303.02|113001101|0|G5020|S|207403717455791|37011930301|Census Tract 9303.01|91782730|0|G5020|S|6699|0
207903717455803|37011930302|Census Tract 9303.02|113001101|0|G5020|S|207403717455803|37011930302|Census Tract 9303.02|112961142|0|G5020|S|112886906|0
207903717455803|37011930302|Census Tract 9303.02|113001101|0|G5020|S|20740212261805|47019071700|Census Tract 717|126098767|0|G5020|S|789|0
207903717455811|37011930400|Census Tract 9304|136716368|0|G5020|S|207403717455811|37011930400|Census Tract 9304|136717967|0|G5020|S|136716368|0
2079015482149859|37013930101|Census Tract 9301.01|423115012|12376795|G5020|S|20740100971515|37013930100|Census Tract 9301|483371309|38574231|G5020|S|423054629|12302469
2079015482149859|37013930101|Census Tract 9301.01|423115012|12376795|G5020|S|207403717166726|37095920100|Census Tract 9201|1586018145|479501242|G5020|S|60383|74326
2079015482149851|37013930102|Census Tract 9301.02|60305819|26271762|G5020|S|20740100971515|37013930100|Census Tract 9301|483371309|38574231|G5020|S|60305819|26271762
20790100973204|37013930200|Census Tract 9302|372803899|123177|G5020|S|20740100973204|37013930200|Census Tract 9302|365543154|123177|G5020|S|365543154|123177
20790100973204|37013930200|Census Tract 9302|372803899|123177|G5020|S|20740416017995|37117970100|Census Tract 9701|362267646|385134|G5020|S|7260745|0
20790100973850|37013930300|Census Tract 9303|9584188|1355360|G5020|S|20740100973850|37013930300|Census Tract 9303|9610154|1355360|G5020|S|9584188|1355360
20790100974167|37013930400|Census Tract 9304|15133947|0|G5020|S|20740100973850|37013930300|Census Tract 9303|9610154|1355360|G5020|S|25966|0
20790100974167|37013930400|Census Tract 9304|15133947|0|G5020|S|20740100974167|37013930400|Census Tract 9304|15107981|0|G5020|S|15107981|0
207903717471682|37013930501|Census Tract 9305.01|19102997|7219686|G5020|S|207403717471682|37013930501|Census Tract 9305.01|19102997|7219686|G5020|S|19102997|7219686
207903717471680|37013930502|Census Tract 9305.02|50170385|53730|G5020|S|207403717471680|37013930502|Census Tract 9305.02|50170385|53730|G5020|S|50170385|53730
20790100971782|37013930600|Census Tract 9306|160145828|23427671|G5020|S|20740100971782|37013930600|Census Tract 9306|160145828|23427671|G5020|S|160145828|23427671
20790100972088|37013930700|Census Tract 9307|196788483|126687707|G5020|S|20740100971515|37013930100|Census Tract 9301|483371309|38574231|G5020|S|1551|0
20790100972088|37013930700|Census Tract 9307|196788483|126687707|G5020|S|20740100972088|37013930700|Census Tract 9307|196786932|126687707|G5020|S|196786932|126687707
20790100973532|37013930800|Census Tract 9308|351398036|90500368|G5020|S|20740100973532|37013930800|Census Tract 9308|351440076|90500368|G5020|S|351398036|90500368
20790100972312|37013930900|Census Tract 9309|330209693|40957338|G5020|S|20740100972312|37013930900|Census Tract 9309|330283170|40957338|G5020|S|330209693|40957338
2079015482149870|37013931001|Census Tract 9310.01|103174699|0|G5020|S|20740100972312|37013930900|Census Tract 9309|330283170|40957338|G5020|S|6163|0
2079015482149870|37013931001|Census Tract 9310.01|103174699|0|G5020|S|20740100972596|37013931000|Census Tract 9310|168058530|8014635|G5020|S|103168536|0
2079015482149868|37013931002|Census Tract 9310.02|64843438|8014635|G5020|S|20740100972596|37013931000|Census Tract 9310|168058530|8014635|G5020|S|64843438|8014635
20790132395655|37015960100|Census Tract 9601|422961809|43116827|G5020|S|20740132395655|37015960100|Census Tract 9601|425163041|43116827|G5020|S|422950920|43116827
20790132395655|37015960100|Census Tract 9601|422961809|43116827|G5020|S|20740132395682|37015960400|Census Tract 9604|530707678|58714461|G5020|S|10889|0
20790132395694|37015960200|Census Tract 9602|332571097|0|G5020|S|20740132395694|37015960200|Census Tract 9602|332571097|0|G5020|S|332571097|0
20790132395668|37015960300|Census Tract 9603|522413148|7284197|G5020|S|20740132395668|37015960300|Census Tract 9603|522417403|6155815|G5020|S|522413148|6155815
20790132395668|37015960300|Census Tract 9603|522413148|7284197|G5020|S|20740503210310|37083931100|Census Tract 9311|380264122|2082562|G5020|S|0|1128382
2079015483134006|37015960401|Census Tract 9604.01|137599400|47235|G5020|S|20740132395682|37015960400|Census Tract 9604|530707678|58714461|G5020|S|137599400|47235
2079015483134013|37015960402|Census Tract 9604.02|395313134|58672492|G5020|S|20740132395655|37015960100|Census Tract 9601|425163041|43116827|G5020|S|2212121|0
2079015483134013|37015960402|Census Tract 9604.02|395313134|58672492|G5020|S|20740132395682|37015960400|Census Tract 9604|530707678|58714461|G5020|S|393097389|58662849
2079015483134013|37015960402|Census Tract 9604.02|395313134|58672492|G5020|S|20740416017995|37117970100|Census Tract 9701|362267646|385134|G5020|S|0|9643
2079015483134013|37015960402|Census Tract 9604.02|395313134|58672492|G5020|S|20740416018055|37117970300|Census Tract 9703|51181855|23739|G5020|S|3624|0
2079015484714430|37017950101|Census Tract 9501.01|437251804|7485631|G5020|S|20740177004062|37017950100|Census Tract 9501|818479711|16611052|G5020|S|437221277|7485631
2079015484714430|37017950101|Census Tract 9501.01|437251804|7485631|G5020|S|2074018794640|37051002900|Census Tract 29|303374455|816981|G5020|S|30527|0
2079015484714466|37017950102|Census Tract 9501.02|381258434|9125421|G5020|S|20740177004062|37017950100|Census Tract 9501|818479711|16611052|G5020|S|381258434|9125421
20790177004071|37017950200|Census Tract 9502|359989237|8739564|G5020|S|20740177004071|37017950200|Census Tract 9502|359753231|8735823|G5020|S|359753231|8735823
20790177004071|37017950200|Census Tract 9502|359989237|8739564|G5020|S|2074018794640|37051002900|Census Tract 29|303374455|816981|G5020|S|236006|3741
2079015484714469|37017950301|Census Tract 9503.01|57403002|669475|G5020|S|20740177004052|37017950300|Census Tract 9503|228348199|2071050|G5020|S|57403002|669475
